approach,data_path,dataset,algorithm,join_time,total_time,feature_selection_time,depth,accuracy,train_time,feature_importance,cutoff_threshold,redundancy_threshold
TFD_PATH,football/football.csv/id--football/strong_team.csv/ft_id--football/weak_team.csv/ft_id,football,CART,4.562824010848999,4.604649066925049,,7.0,0.9974718701039738,0.041825056076049805,"{'strong_score': 0.595, 'weak_score': 0.405}",,
TFD_PATH,football/football.csv/id--football/strong_team.csv/ft_id--football/weak_team.csv/ft_id,football,ID3,4.562824010848999,125.42616295814514,,2.0,0.5190428713858425,120.86333894729614,{},,
TFD_PATH,football/football.csv/id--football/strong_team.csv/ft_id--football/weak_team.csv/ft_id,football,XGBoost,4.562824010848999,4.960731029510498,,1.0,0.9966244124768551,0.397907018661499,"{'strong_score': 0.582, 'weak_score': 0.418}",,
TFD,football/football.csv/id--football/strong_team.csv/ft_id--football/weak_team.csv/ft_id,football,CART,4.562824010848999,4.602091073989868,,7.0,0.9974718701039738,0.03926706314086914,"{'strong_score': 0.595, 'weak_score': 0.405}",,
TFD,football/football.csv/id--football/strong_team.csv/ft_id--football/weak_team.csv/ft_id,football,ID3,4.562824010848999,79.89522385597229,,4.0,0.5207377866400797,75.33239984512329,{},,
TFD,football/football.csv/id--football/strong_team.csv/ft_id--football/weak_team.csv/ft_id,football,XGBoost,4.562824010848999,4.934055805206299,,1.0,0.9966244124768551,0.3712317943572998,"{'strong_score': 0.582, 'weak_score': 0.418}",,
ARDA,../other-data/synthetic/football/football.csv,football,CART,0.0307919979095459,31.080516815185547,31.0157208442688,7.0,0.9983193277310924,0.03400397300720215,"{'weak_score': 0.405, 'strong_score': 0.595}",,
ARDA,../other-data/synthetic/football/football.csv,football,ID3,0.0307919979095459,99.36613464355469,31.0157208442688,2.0,0.5190428713858425,68.31962180137634,{},,
ARDA,../other-data/synthetic/football/football.csv,football,XGBoost,0.0307919979095459,31.383428812026978,31.0157208442688,1.0,0.9966244124768551,0.3369159698486328,"{'weak_score': 0.418, 'strong_score': 0.582}",,
BASE,../other-data/synthetic/football/football.csv,football,CART,,0.039160966873168945,,1.0,0.5037601481270475,0.039160966873168945,{},,
BASE,../other-data/synthetic/football/football.csv,football,ID3,,65.0025281906128,,2.0,0.5190428713858425,65.0025281906128,{},,
BASE,../other-data/synthetic/football/football.csv,football,XGBoost,,0.7173690795898438,,4.0,0.4733300099700897,0.7173690795898438,"{'id': 0.274, 'strong_team': 0.247, 'weak_team': 0.223, 'tournament': 0.254}",,
TFD_JOIN_ALL,../other-data/synthetic/football/football.csv,football,CART,0.11493897438049316,0.2141718864440918,,34.0,0.9989583333333332,0.09923291206359863,"{'weak_score': 0.401, 'strong_score': 0.597}",,
TFD_JOIN_ALL,../other-data/synthetic/football/football.csv,football,ID3,0.11493897438049316,386.87371492385864,,4.0,0.49320735165794066,386.75877594947815,{},,
TFD_JOIN_ALL,../other-data/synthetic/football/football.csv,football,XGBoost,0.11493897438049316,2.1732900142669678,,2.0,0.9973931064572426,2.0583510398864746,"{'date': 0.002, 'strong_team': 0.001, 'weak_team': 0.003, 'weak_score': 0.332, 'weak_overall': 0.002, 'strong_score': 0.575, 'strong_avg_age': 0.003, 'idfootball/differences_stats.csv': 0.005, 'dif_attack': 0.004, 'dif_bu_speed': 0.004, 'dif_cc_crossing': 0.003, 'dif_cc_passing': 0.002, 'dif_preassure': 0.002, 'strong_aggression': 0.002, 'strong_preassure': 0.001, 'strong_cc_passing': 0.004, 'idfootball/strong_change_creation.csv': 0.003, 'weak_bu_speed': 0.002, 'weak_midfield': 0.002, 'weak_cc_shooting': 0.003, 'idfootball/weak_change_creation.csv': 0.013}",,
TFD_JOIN_ALL_FS,../other-data/synthetic/football/football.csv,football,CART,0.11881232261657715,21.901841640472412,21.771802186965942,2.0,0.8413203534031414,0.011227130889892578,"{'date': 0.553, 'strong_team': 0.447}",,
TFD_JOIN_ALL_FS,../other-data/synthetic/football/football.csv,football,XGBoost,0.11881232261657715,238.7007532119751,238.1420509815216,3.0,0.9994791666666666,0.43988990783691406,"{'date': 0.359, 'strong_team': 0.638, 'weak_team': 0.002}",,
